"Time [ms]","Size [B]","Used [B]"
"2:47:29.487 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:30.487 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:31.487 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:32.488 PM, Sep 25, 2022","587,202,592","56,158,816"
"2:47:33.488 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:34.488 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:35.489 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:36.489 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:37.489 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:38.489 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:39.490 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:40.490 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:41.490 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:42.490 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:43.491 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:44.491 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:45.491 PM, Sep 25, 2022","142,606,368","21,605,992"
"2:47:46.492 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:47.492 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:48.492 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:49.492 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:50.493 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:51.493 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:52.493 PM, Sep 25, 2022","566,231,072","125,882,632"
"2:47:53.493 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:54.494 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:55.494 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:56.494 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:57.494 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:58.495 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:47:59.495 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:00.495 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:01.496 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:02.496 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:03.496 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:04.496 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:05.497 PM, Sep 25, 2022","167,772,192","21,606,344"
"2:48:06.497 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:07.497 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:08.497 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:09.498 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:10.498 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:11.498 PM, Sep 25, 2022","612,368,416","121,784,600"
"2:48:12.499 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:13.499 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:14.499 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:15.500 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:16.500 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:17.500 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:18.500 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:19.501 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:20.501 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:21.501 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:22.501 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:23.502 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:24.502 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:25.502 PM, Sep 25, 2022","142,606,368","21,600,488"
"2:48:26.502 PM, Sep 25, 2022","142,606,368","76,669,632"
"2:48:27.503 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:28.503 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:29.504 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:30.504 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:31.504 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:32.504 PM, Sep 25, 2022","322,961,440","150,287,944"
"2:48:33.505 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:34.505 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:35.505 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:36.506 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:37.506 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:38.506 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:39.506 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:40.507 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:41.507 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:42.507 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:43.508 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:44.508 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:45.508 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:46.508 PM, Sep 25, 2022","155,189,280","21,624,144"
"2:48:47.509 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:48.509 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:49.509 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:50.510 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:51.510 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:52.510 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:53.510 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:54.511 PM, Sep 25, 2022","155,189,280","42,595,664"
"2:48:55.511 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:48:56.511 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:48:57.511 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:48:58.512 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:48:59.512 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:00.512 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:01.512 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:02.513 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:03.513 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:04.513 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:05.514 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:06.514 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:07.514 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:08.514 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:09.515 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:10.515 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:11.515 PM, Sep 25, 2022","100,663,328","42,595,632"
"2:49:12.515 PM, Sep 25, 2022","100,663,328","21,624,112"
"2:49:13.516 PM, Sep 25, 2022","100,663,328","21,624,112"
